feature,display,mechanism_class,n,promoted_n,suppressed_n,promoted_median,suppressed_median,cliffs_delta_promoted_vs_suppressed,mann_whitney_p,spearman_rho_with_LNRR,spearman_p,linear_R2,linear_slope,direction_label,abs_delta
OPR,ORP,Redox background,42,33,9,208.4,187.2,0.18518518518518517,0.4078739085372812,0.19585122761526622,0.2138543000980514,0.04552411052443117,0.0021173713391477405,Promoted higher,0.18518518518518517
NaHCO3_P,NaHCO$_3$-P,N/P precursor,42,33,9,0.0283349058999253,0.0355546293546544,-0.05723905723905724,0.8062807273476637,-0.23847338141155497,0.1282896500942747,0.04040441876033085,-2.728235939513679,Suppressed higher,0.05723905723905724
DOC,DOC,Carbon background,42,33,9,0.2527764763134664,0.2665850048760398,0.2727272727272727,0.22014801232201842,0.0707398103881371,0.6561972457709774,5.8603644793486787e-05,0.025833318004021007,Promoted higher,0.2727272727272727
OPR_FeP,ORP x FeP,Fe-redox gate,42,33,9,0.3090968427529596,0.8362808873482873,-0.6094276094276094,0.00580135066029198,-0.5455797747346244,0.00018644436953870304,0.24320347454998303,-0.3688087904711337,Suppressed higher,0.6094276094276094
FeII,Fe(II),Fe-redox trigger,42,33,9,5.588016272,24.32873432,-0.5084175084175084,0.021504800226331257,-0.10947249007373795,0.4901119355765311,0.028732163437257707,-0.008794460312011759,Suppressed higher,0.5084175084175084
NH4_NO3_Ratio,NH$_4^+$/NO$_3^-$,N precursor balance,42,33,9,1.461571046008492,2.704478574884854,-0.23905723905723905,0.2833304308571791,-0.1148205169759339,0.46902557200600226,0.005767173746395793,0.01319362208637805,Suppressed higher,0.23905723905723905
log_nosZ_norB_Ratio,log$_{10}$(nosZ/norB),N$_2$O sink/source,42,33,9,0.1000292134746302,0.2329391756103628,-0.5084175084175084,0.021504800226331257,-0.3771979580260919,0.013798421645187974,0.10681164866592652,-0.75765890915117,Suppressed higher,0.5084175084175084
