time_window,rho_PCoA1,p_PCoA1,rho_PCoA2,p_PCoA2
24 h,0.7507495340734138,1.0285327494423897e-08,-0.6971072036301759,2.914141061865375e-07
48 h,0.5227291143343328,0.000383208818442886,0.2316668017178511,0.1398820646373815
72 h,0.47103152094643874,0.0016416140149342054,0.3968073900008103,0.00927402401049455
Cum.,0.9662912243740378,3.468751952989954e-25,-0.23182886313912973,0.13959734194572995
