feature,display_name,mean_abs_shap_recomputed,logistic_coefficient_on_scaled_feature
FeII,Fe(II),0.9921413631000174,-1.201350052031737
OPR_FeP,ORP x FeP,0.9616307551496758,-1.265976323264505
log_nosZ_norB_Ratio,log$_{10}$(nosZ/norB),0.45070602048141223,-0.583620966599034
NaHCO3_P,NaHCO$_3$-P,0.3998986545186009,-0.5254967403620572
DOC,DOC,0.3975855420095145,0.538567331995394
NH4_NO3_Ratio,NH$_4^+$/NO$_3^-$,0.1800386255598918,0.2725318654943929
OPR,ORP,0.17585188682047845,0.22075106083487814
