time,spearman_rho_ORP_FeP,p_ORP_FeP,significance_ORP_FeP,spearman_rho_ORP_lnFeP,p_ORP_lnFeP,significance_ORP_lnFeP,delta_rho_ln_minus_raw
24 h,-0.5752370148286201,6.749518845963154e-05,***,-0.4671420468357508,0.00181524121744032,**,0.10809496799286933
48 h,-0.11044485860140993,0.4862419515470848,,-0.1728385057936958,0.27370021449682475,,-0.06239364719228588
72 h,-0.3097804067741674,0.04588695502892978,*,-0.18693784944493966,0.2358517569030522,,0.12284255732922775
Cum.,-0.5455797747346244,0.00018644436953870304,***,-0.49890608540636905,0.0007708046695625999,***,0.04667368932825533
