ID,样本代码,Response_Group,LNRR_24h,LNRR_48h,LNRR_72h,LNRR_cum,OPR_FeP,FeII_FeIII_Ratio,FeII,log_nosZ_norB_Ratio,log_Source_Sink_Ratio,log_Sink_Source_Ratio,log_DNRA_Advantage,NO3,NH4_NO3_Ratio,pH,SOC,Trajectory_cluster,轨迹类型,Sample_ID,NaHCO3_P,DOC,Raw_cluster,_dendrogram_order
23,YT1,Suppressed,-0.7018002481809974,-0.9846817344488248,0.2038146349629127,-0.7990489233152508,0.990100438243366,2.902299074414004,13.439328048,0.3474519945523968,0.1721665169291324,-0.1721665169291325,-0.5218929549843004,0.0146118071544533,4.214527997065537,8.3,19.98,Weak / delayed response,延迟促排型,YT1,0.00660570277996,0.1939821162918422,1,0
20,GL,Suppressed,-0.9929506091319736,-0.0200750614886197,-0.3765537643217559,-0.2025888701428038,2.985694695821853,0.103681923131364,2.094932656,0.3677269485875676,0.1862647346372198,-0.1862647346372197,-1.2542205537735809,0.0101243104584956,2.58906466084378,5.066,20.65,Weak / delayed response,延迟促排型,GL,0.0428191301247771,0.3658912225982966,1,1
33,XY,Suppressed,-0.232121877439249,0.3078656651583406,0.1299159862765894,-0.1770002440267771,0.8362808873482873,4.490726309863314,24.32873432,0.374987728170329,0.1559549554911412,-0.1559549554911412,-0.49467067041239,0.0061714933711331,2.724167963529601,8.662,12.58,Weak / delayed response,延迟促排型,XY,0.0027039865190929,0.2997852684793338,1,2
6,SH2,Suppressed,-0.1797588785345348,0.1984093695296025,-0.2524197485609252,-0.1036470698067401,0.0370338566061572,3.524196891675339,31.866387408,0.2329391756103628,0.2088180934217518,-0.2088180934217518,-0.6588550907600551,0.009060376068376,2.704478574884854,7.840000000000001,18.25,Weak / delayed response,延迟促排型,SH2,0.022659294117647,0.2753852376212012,1,3
13,RL,Suppressed,-0.3633938940442126,0.182321556570505,-0.1491063609720063,-0.1912163737456066,0.8097134526942272,1.887217628046741,24.59414464,0.0964275239689599,0.3557551641629833,-0.3557551641629833,-1.1931339352443684,0.0139193399980588,1.486321790374971,6.612,10.256,Weak / delayed response,延迟促排型,RL,0.0355546293546544,0.191893668152484,1,4
29,CF,Suppressed,-0.3075364444408439,0.1287934062320658,-0.2280819332239754,-0.1720061397216955,1.717195355325101,2.228125354079393,4.021053264,-0.0108504292510522,0.4565027874101315,-0.4565027874101315,-0.7142310134895259,0.0116673137179976,0.4083566083377658,8.862,12.48,Weak / delayed response,延迟促排型,CF,0.0298148023341205,0.2665850048760398,1,5
40,BS,Promoted,-0.0527846230064198,0.6948018485870274,1.0372494829020786,0.5226858796343572,0.5808791477002091,1.457033169926959,13.63649,0.1944196987325979,0.3231853261996477,-0.3231853261996478,-1.2751748666426586,0.0105064702633032,1.246035249211394,5.984,23.3,Weak / delayed response,持续促排型,BS,0.0453794558550693,0.3844107589312816,1,6
28,XN,Suppressed,-0.5170616846239833,-0.0392968594812254,0.4831788595238122,-0.0250418793576072,0.8059460213730418,5.734567561469759,25.16288104,0.1544916843185839,0.3544759254603621,-0.3544759254603621,-0.5962433326936258,0.0065059985580389,3.585402085514495,8.6,25.374,Weak / delayed response,延迟促排型,XN,0.0491186869251845,0.0043380896107613,1,7
31,YT2,Promoted,-0.3596680061981459,-0.0508572460592549,0.6300437399780998,0.025236698125757,0.3949870878376207,0.0723903561013677,1.42761528,0.1710999771548593,0.3712565232760109,-0.3712565232760109,-1.5761910682368212,0.007054627306273,0.4552070394728242,6.15,6.859999999999999,Weak / delayed response,延迟促排型,YT2,0.0376303573969047,0.5681391960095082,1,8
12,ZQ,Promoted,0.4790029812930397,-0.4028421550827122,-0.3161730895309927,0.1898201250417681,0.3090968427529596,0.1713255612673978,1.230453328,0.3293850601216734,0.1369617765067892,-0.1369617765067891,-1.247178384233463,0.0082938269319759,1.093147767314931,5.396,8.626000000000001,Weak / delayed response,延迟促排型,ZQ,0.0511054876477939,0.3995705393420228,1,9
