ID,样本代码,Response_Group,LNRR_24h,LNRR_48h,LNRR_72h,LNRR_cum,OPR_FeP,FeII_FeIII_Ratio,FeII,log_nosZ_norB_Ratio,log_Source_Sink_Ratio,log_Sink_Source_Ratio,log_DNRA_Advantage,NO3,NH4_NO3_Ratio,pH,SOC,Trajectory_cluster,轨迹类型
11,BJ,Promoted,0.2458326603081119,-0.17742969526186145,-0.051604772329714554,0.01726482324828967,0.5670839428904415,0.0628724725893598,0.258445472,0.10002921347463026,0.4302522405845487,-0.4302522405845487,-0.4866453613764877,0.00647774193548387,2.553758587994626,8.782,19.626,3,延迟促排型
12,ZQ,Promoted,0.47900298129303975,-0.40284215508271226,-0.3161730895309927,0.1898201250417681,0.3090968427529596,0.1713255612673978,1.230453328,0.3293850601216734,0.1369617765067892,-0.13696177650678917,-1.247178384233463,0.008293826931975938,1.093147767314931,5.396,8.626000000000001,3,延迟促排型
13,RL,Suppressed,-0.3633938940442126,0.182321556570505,-0.1491063609720063,-0.1912163737456066,0.8097134526942272,1.887217628046741,24.59414464,0.09642752396895994,0.3557551641629833,-0.3557551641629833,-1.1931339352443684,0.01391933999805884,1.486321790374971,6.612,10.256,3,延迟促排型
14,LZ,Promoted,0.11155800925381536,0.40769345544033253,-0.14303663607584552,0.04365065314360148,1.020478101741959,6.152487964544511,27.195165776,0.2345739200172134,0.4549556101597217,-0.4549556101597217,-0.5193678050746359,0.007369382967873532,0.02949910266297965,9.272,8.426,3,延迟促排型
15,HF,Promoted,1.1130394984544227,0.20999765099270126,0.5928342924461045,0.5861919539862114,0.1999291049429844,1.111357016287504,8.426864576,0.2864845872245591,0.13544945057156918,-0.13544945057156918,-0.9798578420228534,0.01401240984544938,0.414200691814242,6.906000000000001,26.04,2,混合响应型
16,AY,Promoted,1.0185591723485847,1.7199807645357195,-0.2051920704956878,0.7499491251907943,-0.1185039595434129,0.8345729069916354,9.905579216000001,0.10224248066391595,0.47747400887358166,-0.47747400887358166,-1.1227372212196105,0.007608770076379471,1.080231859834246,6.234,9.22,1,早期促排后减弱/反转型
17,MH,Promoted,0.7316703154777752,-1.6079737356297317,0.2579414144226526,0.4202895398187155,-0.02113746068275532,0.543298969687483,11.141632992,-0.2655940651058943,0.6950703864455061,-0.6950703864455061,-1.5341255666570344,0.06603333333333335,0.6156797221647323,6.164,105.5,2,混合响应型
18,HZ,Promoted,2.656438556207098,-0.8731677087103277,0.2726866330370712,0.3583278183816975,-0.2719321430209338,0.4265671180315627,3.975554352000001,-0.19784779302301334,0.6440977785577511,-0.6440977785577512,-1.2215326972044724,0.008166203193832608,1.338676650816994,6.728,22.64,2,混合响应型
19,HK,Suppressed,0.10031182103341889,-0.30234553450741036,0.19041597785104242,-0.1419516945771779,1.377290893792615,0.2223376544825414,6.205001040000001,0.30383164184031786,0.13069764335831258,-0.13069764335831258,-0.9187225029471686,0.007624566929133857,0.6749114819912709,6.311999999999999,11.2,3,延迟促排型
20,GL,Suppressed,-0.9929506091319735,-0.020075061488619747,-0.37655376432175597,-0.2025888701428038,2.985694695821853,0.103681923131364,2.094932656,0.36772694858756766,0.1862647346372198,-0.18626473463721976,-1.2542205537735809,0.01012431045849565,2.58906466084378,5.066,20.65,3,延迟促排型
