source_row_index,Sample_ID,Sample_Name,Class_Label,Class_Name,feature,shap_value,display_name,feature_value_raw,feature_value_imputed,feature_value_scaled
5,SH2,mean.SH2,0,Suppressed_or_neutral,NaHCO3_P,0.25411813963426283,NaHCO$_3$-P,0.022659294117647,0.022659294117647,-0.4835770046055477
6,WF,mean.WF,1,Promoted,NaHCO3_P,0.5177433107222201,NaHCO$_3$-P,0.0047015791523801,0.0047015791523801,-0.9852455228656697
7,LS1,mean.LS1,1,Promoted,NaHCO3_P,0.17450789539945566,NaHCO$_3$-P,0.028082213592233,0.028082213592233,-0.332081784711401
8,DL,mean.DL,1,Promoted,NaHCO3_P,-0.2436670593341907,NaHCO$_3$-P,0.0565676067423989,0.0565676067423989,0.4636890024594801
9,ZY,mean.ZY,1,Promoted,NaHCO3_P,-0.7276142091325297,NaHCO$_3$-P,0.089533294117647,0.089533294117647,1.3846217364378273
10,BJ,mean.BJ,1,Promoted,NaHCO3_P,0.2596842360297452,NaHCO$_3$-P,0.0222801407457335,0.0222801407457335,-0.4941690710599418
11,ZQ,mean.ZQ,1,Promoted,NaHCO3_P,-0.1634813517648736,NaHCO$_3$-P,0.0511054876477939,0.0511054876477939,0.3110986980665914
12,RL,mean.RL,0,Suppressed_or_neutral,NaHCO3_P,0.06481037054070693,NaHCO$_3$-P,0.0355546293546544,0.0355546293546544,-0.12333163188805668
13,LZ,mean.LZ,1,Promoted,NaHCO3_P,0.330959705365003,NaHCO$_3$-P,0.0174249724890152,0.0174249724890152,-0.629803536244541
14,HF,mean.HF,1,Promoted,NaHCO3_P,0.1274197093465321,NaHCO$_3$-P,0.0312897837187128,0.0312897837187128,-0.24247478539779785
15,AY,mean.AY,1,Promoted,NaHCO3_P,0.43171997388951994,NaHCO$_3$-P,0.0105613479932218,0.0105613479932218,-0.8215464354585209
16,MH,mean.MH,1,Promoted,NaHCO3_P,-0.9985385576813927,NaHCO$_3$-P,0.1079882170990639,0.1079882170990639,1.9001803074809156
17,HZ,mean.HZ,1,Promoted,NaHCO3_P,-0.872056745262136,NaHCO$_3$-P,0.0993724831524843,0.0993724831524843,1.6594903037101725
18,HK,mean.HK,0,Suppressed_or_neutral,NaHCO3_P,-0.9677726407933966,NaHCO$_3$-P,0.1058924932201958,0.1058924932201958,1.8416339559530281
19,GL,mean.GL,0,Suppressed_or_neutral,NaHCO3_P,-0.04183489374243349,NaHCO$_3$-P,0.0428191301247771,0.0428191301247771,0.07961018695113133
20,YC2,mean.YC2,1,Promoted,NaHCO3_P,0.5641954730154399,NaHCO$_3$-P,0.0015373339229151,0.0015373339229151,-1.0736421935304872
21,LY,mean.LY,1,Promoted,NaHCO3_P,-0.32385284045000856,NaHCO$_3$-P,0.0620297308468711,0.0620297308468711,0.6162794468085191
22,YT1,mean.YT1,0,Suppressed_or_neutral,NaHCO3_P,0.4897901486376078,NaHCO$_3$-P,0.00660570277996,0.00660570277996,-0.9320517350881221
23,CQ,mean.CQ,1,Promoted,NaHCO3_P,0.16694017365909095,NaHCO$_3$-P,0.0285977144049554,0.0285977144049554,-0.31768070253694125
24,SY,mean.SY,1,Promoted,NaHCO3_P,0.17079828908390607,NaHCO$_3$-P,0.0283349058999253,0.0283349058999253,-0.325022547173612
25,TZ,mean.TZ,1,Promoted,NaHCO3_P,-1.735496591126854,NaHCO$_3$-P,0.1581885915601268,0.1581885915601268,3.3025829806881966
26,SH1,mean.SH1,1,Promoted,NaHCO3_P,-0.04150039459641913,NaHCO$_3$-P,0.0427963445906968,0.0427963445906968,0.07897364799603925
27,XN,mean.XN,0,Suppressed_or_neutral,NaHCO3_P,-0.13431446269081065,NaHCO$_3$-P,0.0491186869251845,0.0491186869251845,0.2555952347073943
28,CF,mean.CF,0,Suppressed_or_neutral,NaHCO3_P,0.14907292194160782,NaHCO$_3$-P,0.0298148023341205,0.0298148023341205,-0.2836800126274797
29,ATS,mean.ATS,1,Promoted,NaHCO3_P,0.5684640121645955,NaHCO$_3$-P,0.0012465680258565,0.0012465680258565,-1.0817650586622758
30,YT2,mean.YT2,1,Promoted,NaHCO3_P,0.034337999121029895,NaHCO$_3$-P,0.0376303573969047,0.0376303573969047,-0.0653438860484114
31,JC,mean.JC,1,Promoted,NaHCO3_P,0.32299918120340987,NaHCO$_3$-P,0.0179672303594532,0.0179672303594532,-0.6146549662341761
32,XY,mean.XY,0,Suppressed_or_neutral,NaHCO3_P,0.5470686285999645,NaHCO$_3$-P,0.0027039865190929,0.0027039865190929,-1.0410504701190815
33,WH,mean.WH,1,Promoted,NaHCO3_P,0.5182112006037344,NaHCO$_3$-P,0.0046697072598264,0.0046697072598264,-0.9861358992383031
