Trajectory_cluster,n,mean_LNRR_24h,mean_LNRR_48h,mean_LNRR_72h,mean_LNRR_cum,promoted_rate
Weak / delayed response,20,-0.08714753513362813,0.023168045813768016,0.0760463309637415,-0.02654417599084687,0.55
Mixed response,11,1.0700491518358393,-0.16379448431947996,0.2567401889064897,0.5218286341038352,1.0
Early promotion / switching,7,0.6627549538929168,1.491595999518078,-0.08032962296314759,0.6526630757759266,1.0
Consistent promotion,4,0.5808423225636843,0.9293450533533145,1.8540824285595359,1.1981335341477017,1.0
